"Access","StartTime","StopTime","Duration"
1,1 Jun 2022 01:19:53.654,1 Jun 2022 01:26:18.466,384.812
2,1 Jun 2022 02:54:09.384,1 Jun 2022 03:01:19.946,430.562
3,1 Jun 2022 04:28:45.300,1 Jun 2022 04:36:40.716,475.415
4,1 Jun 2022 06:04:05.189,1 Jun 2022 06:12:12.641,487.452
5,1 Jun 2022 07:40:20.792,1 Jun 2022 07:47:51.954,451.162
6,1 Jun 2022 09:17:31.384,1 Jun 2022 09:23:38.969,367.585
7,1 Jun 2022 10:55:17.823,1 Jun 2022 10:59:41.606,263.783
8,1 Jun 2022 12:32:47.368,1 Jun 2022 12:36:28.582,221.214
9,1 Jun 2022 14:09:15.706,1 Jun 2022 14:14:11.328,295.623
10,1 Jun 2022 15:45:11.556,1 Jun 2022 15:51:50.104,398.548
11,1 Jun 2022 17:20:55.773,1 Jun 2022 17:28:44.093,468.320
12,1 Jun 2022 18:56:32.895,1 Jun 2022 19:04:41.331,488.436
13,1 Jun 2022 20:32:01.863,1 Jun 2022 20:39:45.317,463.454
14,1 Jun 2022 22:07:17.550,1 Jun 2022 22:14:11.640,414.090
15,1 Jun 2022 23:42:10.771,1 Jun 2022 23:48:27.481,376.710
16,2 Jun 2022 01:16:36.860,2 Jun 2022 01:23:01.539,384.679
17,2 Jun 2022 02:50:52.570,2 Jun 2022 02:58:02.921,430.351
18,2 Jun 2022 04:25:28.346,2 Jun 2022 04:33:23.628,475.282
19,2 Jun 2022 06:00:48.022,2 Jun 2022 06:08:55.519,487.496
20,2 Jun 2022 07:37:03.388,2 Jun 2022 07:44:34.803,451.415
21,2 Jun 2022 09:14:13.776,2 Jun 2022 09:20:21.778,368.002
22,2 Jun 2022 10:52:00.148,2 Jun 2022 10:56:24.312,264.164
23,2 Jun 2022 12:29:29.906,2 Jun 2022 12:33:11.026,221.121
24,2 Jun 2022 14:05:58.458,2 Jun 2022 14:10:53.650,295.192
25,2 Jun 2022 15:41:54.382,2 Jun 2022 15:48:32.553,398.171
26,2 Jun 2022 17:17:38.632,2 Jun 2022 17:25:26.764,468.132
27,2 Jun 2022 18:53:15.782,2 Jun 2022 19:01:24.236,488.454
28,2 Jun 2022 20:28:44.791,2 Jun 2022 20:36:28.417,463.627
29,2 Jun 2022 22:04:00.549,2 Jun 2022 22:10:54.846,414.297
30,2 Jun 2022 23:38:53.882,2 Jun 2022 23:45:10.665,376.783
31,3 Jun 2022 01:13:20.065,3 Jun 2022 01:19:44.612,384.547
32,3 Jun 2022 02:47:35.756,3 Jun 2022 02:54:45.893,430.137
33,3 Jun 2022 04:22:11.393,3 Jun 2022 04:30:06.541,475.148
34,3 Jun 2022 05:57:30.856,3 Jun 2022 06:05:38.396,487.540
35,3 Jun 2022 07:33:45.985,3 Jun 2022 07:41:17.652,451.667
36,3 Jun 2022 09:10:56.170,3 Jun 2022 09:17:04.588,368.419
37,3 Jun 2022 10:48:42.474,3 Jun 2022 10:53:07.019,264.545
38,3 Jun 2022 12:26:12.443,3 Jun 2022 12:29:53.472,221.030
39,3 Jun 2022 14:02:41.210,3 Jun 2022 14:07:35.971,294.761
40,3 Jun 2022 15:38:37.207,3 Jun 2022 15:45:15.000,397.793
41,3 Jun 2022 17:14:21.490,3 Jun 2022 17:22:09.434,467.944
42,3 Jun 2022 18:49:58.669,3 Jun 2022 18:58:07.141,488.471
43,3 Jun 2022 20:25:27.718,3 Jun 2022 20:33:11.517,463.799
44,3 Jun 2022 22:00:43.548,3 Jun 2022 22:07:38.053,414.505
45,3 Jun 2022 23:35:36.992,3 Jun 2022 23:41:53.850,376.858
46,4 Jun 2022 01:10:03.270,4 Jun 2022 01:16:27.686,384.416
47,4 Jun 2022 02:44:18.943,4 Jun 2022 02:51:28.866,429.923
48,4 Jun 2022 04:18:54.441,4 Jun 2022 04:26:49.455,475.014
49,4 Jun 2022 05:54:13.691,4 Jun 2022 06:02:21.273,487.582
50,4 Jun 2022 07:30:28.583,4 Jun 2022 07:38:00.504,451.921
51,4 Jun 2022 09:07:38.564,4 Jun 2022 09:13:47.399,368.835
52,4 Jun 2022 10:45:24.799,4 Jun 2022 10:49:49.726,264.927
53,4 Jun 2022 12:22:54.978,4 Jun 2022 12:26:35.919,220.941
54,4 Jun 2022 13:59:23.962,4 Jun 2022 14:04:18.292,294.331
55,4 Jun 2022 15:35:20.032,4 Jun 2022 15:41:57.447,397.415
56,4 Jun 2022 17:11:04.348,4 Jun 2022 17:18:52.102,467.754
57,4 Jun 2022 18:46:41.556,4 Jun 2022 18:54:50.044,488.488
58,4 Jun 2022 20:22:10.646,4 Jun 2022 20:29:54.617,463.971
59,4 Jun 2022 21:57:26.547,4 Jun 2022 22:04:21.259,414.713
60,4 Jun 2022 23:32:20.102,4 Jun 2022 23:38:37.036,376.934
61,5 Jun 2022 01:06:46.475,5 Jun 2022 01:13:10.760,384.285
62,5 Jun 2022 02:41:02.130,5 Jun 2022 02:48:11.839,429.709
63,5 Jun 2022 04:15:37.489,5 Jun 2022 04:23:32.368,474.879
64,5 Jun 2022 05:50:56.527,5 Jun 2022 05:59:04.151,487.624
65,5 Jun 2022 07:27:11.183,5 Jun 2022 07:34:43.354,452.171
66,5 Jun 2022 09:04:20.959,5 Jun 2022 09:10:30.209,369.250
67,5 Jun 2022 10:42:07.124,5 Jun 2022 10:46:32.434,265.310
68,5 Jun 2022 12:19:37.513,5 Jun 2022 12:23:18.368,220.855
69,5 Jun 2022 13:56:06.713,5 Jun 2022 14:01:00.613,293.901
70,5 Jun 2022 15:32:02.857,5 Jun 2022 15:38:39.893,397.035
71,5 Jun 2022 17:07:47.206,5 Jun 2022 17:15:34.769,467.563
72,5 Jun 2022 18:43:24.443,5 Jun 2022 18:51:32.947,488.504
73,5 Jun 2022 20:18:53.573,5 Jun 2022 20:26:37.716,464.142
74,5 Jun 2022 21:54:09.545,5 Jun 2022 22:01:04.466,414.921
75,5 Jun 2022 23:29:03.211,5 Jun 2022 23:35:20.222,377.010
76,6 Jun 2022 01:03:29.680,6 Jun 2022 01:09:53.835,384.156
77,6 Jun 2022 02:37:45.317,6 Jun 2022 02:44:54.813,429.496
78,6 Jun 2022 04:12:20.539,6 Jun 2022 04:20:15.282,474.743
79,6 Jun 2022 05:47:39.365,6 Jun 2022 05:55:47.029,487.665
80,6 Jun 2022 07:23:53.783,6 Jun 2022 07:31:26.204,452.421
81,6 Jun 2022 09:01:03.354,6 Jun 2022 09:07:13.020,369.665
82,6 Jun 2022 10:38:49.449,6 Jun 2022 10:43:15.143,265.694
83,6 Jun 2022 12:16:20.047,6 Jun 2022 12:20:00.817,220.770
84,6 Jun 2022 13:52:49.464,6 Jun 2022 13:57:42.935,293.471
85,6 Jun 2022 15:28:45.682,6 Jun 2022 15:35:22.338,396.655
86,6 Jun 2022 17:04:30.064,6 Jun 2022 17:12:17.435,467.371
87,6 Jun 2022 18:40:07.329,6 Jun 2022 18:48:15.848,488.519
88,6 Jun 2022 20:15:36.501,6 Jun 2022 20:23:20.814,464.314
89,6 Jun 2022 21:50:52.543,6 Jun 2022 21:57:47.672,415.129
90,6 Jun 2022 23:25:46.320,6 Jun 2022 23:32:03.408,377.088
91,7 Jun 2022 01:00:12.884,7 Jun 2022 01:06:36.911,384.027
92,7 Jun 2022 02:34:28.505,7 Jun 2022 02:41:37.787,429.282
93,7 Jun 2022 04:09:03.589,7 Jun 2022 04:16:58.196,474.607
94,7 Jun 2022 05:44:22.203,7 Jun 2022 05:52:29.907,487.704
95,7 Jun 2022 07:20:36.384,7 Jun 2022 07:28:09.054,452.670
96,7 Jun 2022 08:57:45.751,7 Jun 2022 09:03:55.831,370.080
97,7 Jun 2022 10:35:31.773,7 Jun 2022 10:39:57.852,266.079
98,7 Jun 2022 12:13:02.579,7 Jun 2022 12:16:43.268,220.689
99,7 Jun 2022 13:49:32.214,7 Jun 2022 13:54:25.256,293.042
100,7 Jun 2022 15:25:28.507,7 Jun 2022 15:32:04.782,396.275
101,7 Jun 2022 17:01:12.923,7 Jun 2022 17:09:00.100,467.178
102,7 Jun 2022 18:36:50.216,7 Jun 2022 18:44:58.749,488.533
103,7 Jun 2022 20:12:19.428,7 Jun 2022 20:20:03.912,464.484
104,7 Jun 2022 21:47:35.541,7 Jun 2022 21:54:30.878,415.337
105,7 Jun 2022 23:22:29.429,7 Jun 2022 23:28:46.594,377.166
106,8 Jun 2022 00:56:56.089,8 Jun 2022 01:03:19.987,383.898
107,8 Jun 2022 02:31:11.693,8 Jun 2022 02:38:20.761,429.068
108,8 Jun 2022 04:05:46.639,8 Jun 2022 04:13:41.110,474.471
109,8 Jun 2022 05:41:05.042,8 Jun 2022 05:49:12.786,487.744
110,8 Jun 2022 07:17:18.987,8 Jun 2022 07:24:51.904,452.918
111,8 Jun 2022 08:54:28.147,8 Jun 2022 09:00:38.642,370.494
112,8 Jun 2022 10:32:14.098,8 Jun 2022 10:36:40.563,266.465
113,8 Jun 2022 12:09:45.110,8 Jun 2022 12:13:25.720,220.610
114,8 Jun 2022 13:46:14.964,8 Jun 2022 13:51:07.577,292.613
115,8 Jun 2022 15:22:11.332,8 Jun 2022 15:28:47.226,395.894
116,8 Jun 2022 16:57:55.780,8 Jun 2022 17:05:42.767,466.987
117,8 Jun 2022 18:33:33.103,8 Jun 2022 18:41:41.649,488.547
118,8 Jun 2022 20:09:02.355,8 Jun 2022 20:16:47.010,464.655
119,8 Jun 2022 21:44:18.538,8 Jun 2022 21:51:14.084,415.546
120,8 Jun 2022 23:19:12.537,8 Jun 2022 23:25:29.781,377.245
121,9 Jun 2022 00:53:39.293,9 Jun 2022 01:00:03.063,383.770
122,9 Jun 2022 02:27:54.882,9 Jun 2022 02:35:03.736,428.854
123,9 Jun 2022 04:02:29.691,9 Jun 2022 04:10:24.025,474.333
124,9 Jun 2022 05:37:47.882,9 Jun 2022 05:45:55.664,487.782
125,9 Jun 2022 07:14:01.590,9 Jun 2022 07:21:34.755,453.165
126,9 Jun 2022 08:51:10.545,9 Jun 2022 08:57:21.454,370.908
127,9 Jun 2022 10:28:56.422,9 Jun 2022 10:33:23.274,266.852
128,9 Jun 2022 12:06:27.639,9 Jun 2022 12:10:08.173,220.534
129,9 Jun 2022 13:42:57.713,9 Jun 2022 13:47:49.898,292.185
130,9 Jun 2022 15:18:54.156,9 Jun 2022 15:25:29.669,395.512
131,9 Jun 2022 16:54:38.638,9 Jun 2022 17:02:25.431,466.792
132,9 Jun 2022 18:30:15.989,9 Jun 2022 18:38:24.548,488.559
133,9 Jun 2022 20:05:45.282,9 Jun 2022 20:13:30.106,464.824
134,9 Jun 2022 21:41:01.535,9 Jun 2022 21:47:57.289,415.754
135,9 Jun 2022 23:15:55.645,9 Jun 2022 23:22:12.969,377.324
136,10 Jun 2022 00:50:22.497,10 Jun 2022 00:56:46.140,383.643
137,10 Jun 2022 02:24:38.071,10 Jun 2022 02:31:46.711,428.640
138,10 Jun 2022 03:59:12.744,10 Jun 2022 04:07:06.939,474.195
139,10 Jun 2022 05:34:30.723,10 Jun 2022 05:42:38.543,487.819
140,10 Jun 2022 07:10:44.194,10 Jun 2022 07:18:17.605,453.411
141,10 Jun 2022 08:47:52.943,10 Jun 2022 08:54:04.266,371.322
142,10 Jun 2022 10:25:38.745,10 Jun 2022 10:30:05.986,267.241
143,10 Jun 2022 12:03:10.167,10 Jun 2022 12:06:50.628,220.460
144,10 Jun 2022 13:39:40.461,10 Jun 2022 13:44:32.219,291.758
145,10 Jun 2022 15:15:36.980,10 Jun 2022 15:22:12.111,395.130
146,10 Jun 2022 16:51:21.496,10 Jun 2022 16:59:08.093,466.597
147,10 Jun 2022 18:26:58.875,10 Jun 2022 18:35:07.446,488.571
148,10 Jun 2022 20:02:28.208,10 Jun 2022 20:10:13.202,464.993
149,10 Jun 2022 21:37:44.532,10 Jun 2022 21:44:40.495,415.963
150,10 Jun 2022 23:12:38.752,10 Jun 2022 23:18:56.156,377.404
151,11 Jun 2022 00:47:05.701,11 Jun 2022 00:53:29.217,383.516
152,11 Jun 2022 02:21:21.261,11 Jun 2022 02:28:29.686,428.426
153,11 Jun 2022 03:55:55.797,11 Jun 2022 04:03:49.854,474.057
154,11 Jun 2022 05:31:13.565,11 Jun 2022 05:39:21.421,487.856
155,11 Jun 2022 07:07:26.799,11 Jun 2022 07:15:00.456,453.657
156,11 Jun 2022 08:44:35.342,11 Jun 2022 08:50:47.078,371.736
157,11 Jun 2022 10:22:21.069,11 Jun 2022 10:26:48.700,267.631
158,11 Jun 2022 11:59:52.694,11 Jun 2022 12:03:33.084,220.390
159,11 Jun 2022 13:36:23.209,11 Jun 2022 13:41:14.540,291.331
160,11 Jun 2022 15:12:19.804,11 Jun 2022 15:18:54.552,394.748
161,11 Jun 2022 16:48:04.353,11 Jun 2022 16:55:50.755,466.401
162,11 Jun 2022 18:23:41.761,11 Jun 2022 18:31:50.344,488.582
163,11 Jun 2022 19:59:11.135,11 Jun 2022 20:06:56.297,465.163
164,11 Jun 2022 21:34:27.528,11 Jun 2022 21:41:23.700,416.171
165,11 Jun 2022 23:09:21.859,11 Jun 2022 23:15:39.343,377.485
166,12 Jun 2022 00:43:48.905,12 Jun 2022 00:50:12.295,383.390
167,12 Jun 2022 02:18:04.450,12 Jun 2022 02:25:12.662,428.212
168,12 Jun 2022 03:52:38.851,12 Jun 2022 04:00:32.768,473.918
169,12 Jun 2022 05:27:56.408,12 Jun 2022 05:36:04.300,487.892
170,12 Jun 2022 07:04:09.405,12 Jun 2022 07:11:43.307,453.902
171,12 Jun 2022 08:41:17.741,12 Jun 2022 08:47:29.890,372.149
172,12 Jun 2022 10:19:03.392,12 Jun 2022 10:23:31.414,268.022
173,12 Jun 2022 11:56:35.219,12 Jun 2022 12:00:15.541,220.322
174,12 Jun 2022 13:33:05.956,12 Jun 2022 13:37:56.861,290.905
175,12 Jun 2022 15:09:02.628,12 Jun 2022 15:15:36.993,394.365
176,12 Jun 2022 16:44:47.211,12 Jun 2022 16:52:33.418,466.207
177,12 Jun 2022 18:20:24.647,12 Jun 2022 18:28:33.240,488.593
178,12 Jun 2022 19:55:54.061,12 Jun 2022 20:03:39.391,465.330
179,12 Jun 2022 21:31:10.524,12 Jun 2022 21:38:06.904,416.380
180,12 Jun 2022 23:06:04.965,12 Jun 2022 23:12:22.531,377.567
181,13 Jun 2022 00:40:32.108,13 Jun 2022 00:46:55.373,383.264
182,13 Jun 2022 02:14:47.640,13 Jun 2022 02:21:55.640,428.000
183,13 Jun 2022 03:49:21.905,13 Jun 2022 03:57:15.683,473.778
184,13 Jun 2022 05:24:39.252,13 Jun 2022 05:32:47.179,487.927
185,13 Jun 2022 07:00:52.012,13 Jun 2022 07:08:26.157,454.146
186,13 Jun 2022 08:38:00.141,13 Jun 2022 08:44:12.703,372.562
187,13 Jun 2022 10:15:45.714,13 Jun 2022 10:20:14.128,268.414
188,13 Jun 2022 11:53:17.743,13 Jun 2022 11:56:57.999,220.256
189,13 Jun 2022 13:29:48.702,13 Jun 2022 13:34:39.182,290.480
190,13 Jun 2022 15:05:45.451,13 Jun 2022 15:12:19.433,393.982
191,13 Jun 2022 16:41:30.068,13 Jun 2022 16:49:16.077,466.010
192,13 Jun 2022 18:17:07.533,13 Jun 2022 18:25:16.135,488.602
193,13 Jun 2022 19:52:36.986,13 Jun 2022 20:00:22.484,465.498
194,13 Jun 2022 21:27:53.519,13 Jun 2022 21:34:50.109,416.589
195,13 Jun 2022 23:02:48.070,13 Jun 2022 23:09:05.719,377.649
196,14 Jun 2022 00:37:15.311,14 Jun 2022 00:43:38.451,383.140
197,14 Jun 2022 02:11:30.830,14 Jun 2022 02:18:38.616,427.786
198,14 Jun 2022 03:46:04.960,14 Jun 2022 03:53:58.598,473.638
199,14 Jun 2022 05:21:22.096,14 Jun 2022 05:29:30.057,487.961
200,14 Jun 2022 06:57:34.619,14 Jun 2022 07:05:09.008,454.389
201,14 Jun 2022 08:34:42.541,14 Jun 2022 08:40:55.515,372.974
202,14 Jun 2022 10:12:28.036,14 Jun 2022 10:16:56.843,268.807
203,14 Jun 2022 11:50:00.265,14 Jun 2022 11:53:40.458,220.193
204,14 Jun 2022 13:26:31.448,14 Jun 2022 13:31:21.502,290.054
205,14 Jun 2022 15:02:28.274,14 Jun 2022 15:09:01.872,393.598
206,14 Jun 2022 16:38:12.924,14 Jun 2022 16:45:58.736,465.811
207,14 Jun 2022 18:13:50.418,14 Jun 2022 18:21:59.029,488.611
208,14 Jun 2022 19:49:19.912,14 Jun 2022 19:57:05.576,465.665
209,14 Jun 2022 21:24:36.514,14 Jun 2022 21:31:33.313,416.798
210,14 Jun 2022 22:59:31.175,14 Jun 2022 23:05:48.907,377.732
211,15 Jun 2022 00:33:58.514,15 Jun 2022 00:40:21.528,383.014
212,15 Jun 2022 02:08:14.020,15 Jun 2022 02:15:21.592,427.572
213,15 Jun 2022 03:42:48.016,15 Jun 2022 03:50:41.513,473.497
214,15 Jun 2022 05:18:04.942,15 Jun 2022 05:26:12.936,487.994
215,15 Jun 2022 06:54:17.227,15 Jun 2022 07:01:51.859,454.631
216,15 Jun 2022 08:31:24.942,15 Jun 2022 08:37:38.328,373.385
217,15 Jun 2022 10:09:10.359,15 Jun 2022 10:13:39.559,269.200
218,15 Jun 2022 11:46:42.787,15 Jun 2022 11:50:22.918,220.131
219,15 Jun 2022 13:23:14.194,15 Jun 2022 13:28:03.823,289.629
220,15 Jun 2022 14:59:11.096,15 Jun 2022 15:05:44.310,393.213
221,15 Jun 2022 16:34:55.781,15 Jun 2022 16:42:41.393,465.612
222,15 Jun 2022 18:10:33.303,15 Jun 2022 18:18:41.922,488.619
223,15 Jun 2022 19:46:02.837,15 Jun 2022 19:53:48.668,465.831
224,15 Jun 2022 21:21:19.508,15 Jun 2022 21:28:16.517,417.008
225,15 Jun 2022 22:56:14.279,15 Jun 2022 23:02:32.096,377.817
226,16 Jun 2022 00:30:41.716,16 Jun 2022 00:37:04.608,382.891
227,16 Jun 2022 02:04:57.211,16 Jun 2022 02:12:04.569,427.358
228,16 Jun 2022 03:39:31.072,16 Jun 2022 03:47:24.428,473.356
